Scenario,Barangay_ID,Barangay_Name,Hazard_Level,FA_Allocated,FA_Ideal,EFA_Allocated,EFA_Ideal,FA_Solution_Quality,EFA_Solution_Quality,Percentage_Change
2,MAHARLIKA,Brgy. Maharlika,Medium,141,5,186,5,27.2,36.2,33.09
2,MALAYA,Brgy. Malaya,Medium,221,3,102,3,72.67,33.0,-54.59
2,MANGGA,Brgy. Mangga,Low,182,6,179,6,29.33,28.83,-1.7
2,MANRESA,Brgy. Manresa,Medium,46,18,96,18,1.56,4.33,177.56
2,MARIANA,Brgy. Mariana,Low,110,6,261,6,17.33,42.5,145.24
2,MARIBLO,Brgy. Mariblo,Medium,88,4,220,4,21.0,54.0,157.14
2,MARILAG,Brgy. Marilag,Medium,203,13,57,13,14.62,3.38,-76.88
2,MASAGANA,Brgy. Masagana,Low,109,3,169,3,35.33,55.33,56.61
2,MASAMBONG,Brgy. Masambong,Medium,204,9,92,9,21.67,9.22,-57.45
2,MATANDANG_BALARA,Brgy. Matandang Balara,None,0,0,0,0,1.0,1.0,0.0
2,MILAGROSA,Brgy. Milagrosa,Medium,87,7,170,7,11.43,23.29,103.76
2,NAGKAISANG_NAYON,Brgy. Nagkaisang Nayon,Low,350,27,272,27,11.96,9.07,-24.16
2,NAYONG_KANLURAN,Brgy. Nayong Kanluran,Medium,84,3,37,3,27.0,11.33,-58.04
2,NEW_ERA,Brgy. New Era,Medium,48,15,165,15,2.2,10.0,354.55
2,NORTH_FAIRVIEW,Brgy. North Fairview,Medium,246,45,185,45,4.47,3.11,-30.43
2,NOVALICHES_PROPER,Brgy. Novaliches Proper,Medium,86,16,52,16,4.38,2.25,-48.63
2,NS_AMORANTO,Brgy. N. S. Amoranto,Medium,174,6,205,6,28.0,33.17,18.46
2,OBRERO,Brgy. Obrero,Medium,234,10,186,10,22.4,17.6,-21.43
2,OLD_CAPITOL_SITE,Brgy. Old Capitol Site,None,0,0,0,0,1.0,1.0,0.0
2,PAANG_BUNDOK,Brgy. Paang Bundok,Low,211,3,167,3,69.33,54.67,-21.15
2,PAG_IBIG_SA_NAYON,Brgy. Pag-Ibig sa Nayon,Medium,131,6,197,6,20.83,31.83,52.81
2,PALIGSAHAN,Brgy. Paligsahan,Medium,101,4,188,4,24.25,46.0,89.69
2,PALTOK,Brgy. Paltok,Low,335,10,176,10,32.5,16.6,-48.92
2,PANSOL,Brgy. Pansol,Medium,433,36,155,36,11.03,3.31,-69.99
2,PARAISO,Brgy. Paraiso,Low,101,2,158,2,49.5,78.0,57.58
2,PASONG_PUTIK_PROPER,Brgy. Pasong Putik Proper,Medium,198,40,101,40,3.95,1.53,-61.27
2,PASONG_TAMO,Brgy. Pasong Tamo,Medium,224,111,625,111,1.02,4.63,353.92
2,PAYATAS,Brgy. Payatas,Low,499,70,650,70,6.13,8.29,35.24
2,PHILAM,Brgy. Philam,Medium,81,3,49,3,26.0,15.33,-41.04
2,PINAGKAISAHAN,Brgy. Pinagkaisahan,Medium,78,5,147,5,14.6,28.4,94.52
2,PINYAHAN,Brgy. Pinyahan,Medium,297,22,154,22,12.5,6.0,-52.0
2,PROJECT_6,Brgy. Project 6,Medium,95,12,252,12,6.92,20.0,189.02
2,QUIRINO_2A,Brgy. Quirino 2-A,None,0,0,0,0,1.0,1.0,0.0
2,QUIRINO_2B,Brgy. Quirino 2-B,Medium,170,4,190,4,41.5,46.5,12.05
2,QUIRINO_2C,Brgy. Quirino 2-C,Medium,199,4,117,4,48.75,28.25,-42.05
2,QUIRINO_3A,Brgy. Quirino 3-A,Medium,67,2,171,2,32.5,84.5,160.0
2,QUIRINO_3B,Brgy. Quirino 3-B,Medium,156,4,89,4,38.0,21.25,-44.08
